"","date","price","macd1","signal1","macd2","signal2","priceTraded","trade","return","cumReturn"
"2021-03-21",2021-03-21,57523.421875,16.5549012750416,18.8650728268973,16.5549012750416,19.6132483937494,NA,NA,NA,NA
"2021-03-22",2021-03-22,54529.14453125,13.8577778667329,18.3087067202123,13.8577778667329,19.241927714587,NA,NA,NA,NA
"2021-03-23",2021-03-23,54738.9453125,12.0670368008226,17.6151878402801,12.0670368008226,18.7790315266022,NA,NA,NA,NA
"2021-03-24",2021-03-24,52774.265625,9.62129462550045,16.7269774830824,9.62129462550045,18.1882097910473,NA,NA,NA,NA
"2021-03-25",2021-03-25,51704.16015625,7.30915710263318,15.6805529963658,7.30915710263318,17.4863354240528,NA,NA,NA,NA
"2021-03-26",2021-03-26,55137.3125,7.72095329829263,14.7961530299132,7.72095329829263,16.856310770778,NA,NA,NA,NA
"2021-03-27",2021-03-27,55973.51171875,8.35339879511854,14.0802914482694,8.35339879511854,16.3077358046064,NA,NA,NA,NA
"2021-03-28",2021-03-28,55950.74609375,8.62185880029205,13.4737989318275,8.62185880029205,15.81187277207,NA,NA,NA,NA
"2021-03-29",2021-03-29,57750.19921875,9.69237429545204,13.0536406388969,9.69237429545204,15.4170664187398,NA,NA,NA,NA
"2021-03-30",2021-03-30,58917.69140625,10.8872466130092,12.812930191576,10.8872466130092,15.1248199796604,NA,NA,NA,NA
"2021-03-31",2021-03-31,58918.83203125,11.4822035033584,12.6650716706629,11.4822035033584,14.8898124650603,NA,NA,NA,NA
"2021-04-01",2021-04-01,59095.80859375,11.7875168048441,12.5675655744608,11.7875168048441,14.6896643579496,NA,NA,NA,NA
"2021-04-02",2021-04-02,59384.3125,11.9664977539368,12.5007802610693,11.9664977539368,14.5139761899487,NA,NA,NA,NA
"2021-04-03",2021-04-03,57603.890625,10.9216096246776,12.3253168570258,10.9216096246776,14.2822106050925,NA,NA,NA,NA
"2021-04-04",2021-04-04,58758.5546875,10.7366539023061,12.1487987509458,10.7366539023061,14.0534650113644,NA,NA,NA,NA
"2021-04-05",2021-04-05,59057.87890625,10.6274196774821,11.9797566316721,10.6274196774821,13.8324298285333,NA,NA,NA,NA
"2021-04-06",2021-04-06,58192.359375,9.93207509311211,11.7522364607209,9.93207509311211,13.5807940391513,NA,NA,NA,NA
"2021-04-07",2021-04-07,56048.9375,8.18069859521393,11.3553989201091,8.18069859521393,13.2324007847037,NA,NA,NA,NA
"2021-04-08",2021-04-08,58323.953125,8.19026569621957,11.003717450788,8.19026569621957,12.907101746737,NA,NA,NA,NA
"2021-04-09",2021-04-09,58245.00390625,8.03727588575967,10.6741128324515,8.03727588575967,12.5929194331255,NA,NA,NA,NA
"2021-04-10",2021-04-10,59793.234375,8.66188079350443,10.4505314947907,8.66188079350443,12.3393040370209,NA,NA,NA,NA
"2021-04-11",2021-04-11,60204.96484375,9.15434564139754,10.3065108444137,9.15434564139754,12.1338228502065,NA,NA,NA,NA
"2021-04-12",2021-04-12,59893.453125,9.16826191308338,10.1800387409326,9.16826191308338,11.9424963381341,NA,NA,NA,NA
"2021-04-13",2021-04-13,63503.45703125,10.9612992045741,10.2668454591149,10.9612992045741,11.8791932972592,63503.45703125,1,0,95.0453296245273
"2021-04-14",2021-04-14,63109.6953125,11.7231624874412,10.4286584622623,11.7231624874412,11.8691267934,63109.6953125,-1,-0.00620063437737303,94.4559882862487
"2021-04-15",2021-04-15,63314.01171875,12.1376430493005,10.6185456385999,12.1376430493005,11.8864504228129,63314.01171875,1,0,94.4559882862487
"2021-04-16",2021-04-16,61572.7890625,11.3145587703023,10.6958804310113,11.3145587703023,11.8495541871671,61572.7890625,-1,-0.0275013793784662,91.8583183178206
"2021-04-17",2021-04-17,60683.8203125,10.1673279003002,10.6371523720434,10.1673279003002,11.7410234589821,NA,NA,NA,NA
"2021-04-18",2021-04-18,56216.18359375,6.9705527090389,10.2297524094873,6.9705527090389,11.4332511525342,NA,NA,NA,NA
"2021-04-19",2021-04-19,55724.265625,4.5749559258238,9.60144168908026,4.5749559258238,10.9907804927464,NA,NA,NA,NA
"2021-04-20",2021-04-20,56473.03125,3.37309529848502,8.90940320123634,3.37309529848502,10.4993169318263,NA,NA,NA,NA
"2021-04-21",2021-04-21,53906.08984375,1.21106939998294,8.05403277887485,1.21106939998294,9.90007515557837,NA,NA,NA,NA
"2021-04-22",2021-04-22,51762.2734375,-1.32627529475523,7.01177632624929,-1.32627529475523,9.1757944813633,NA,NA,NA,NA
"2021-04-23",2021-04-23,51093.65234375,-3.30036843382197,5.86598246401915,-3.30036843382197,8.37088074489973,NA,NA,NA,NA
"2021-04-24",2021-04-24,50050.8671875,-5.09138911017267,4.64849673355339,-5.09138911017267,7.5023472058628,NA,NA,NA,NA
"2021-04-25",2021-04-25,49004.25390625,-6.75095781545544,3.38189067255241,-6.75095781545544,6.58277913997131,NA,NA,NA,NA
"2021-04-26",2021-04-26,54021.75390625,-5.03199342752871,2.44701466143228,-5.03199342752871,5.83343897432614,NA,NA,NA,NA
"2021-04-27",2021-04-27,55033.1171875,-3.32085638549114,1.80614010066301,-3.32085638549114,5.24283927369277,NA,NA,NA,NA
"2021-04-28",2021-04-28,54824.703125,-2.293317557708,1.35064480528846,-2.293317557708,4.75663560715079,NA,NA,NA,NA
"2021-04-29",2021-04-29,53555.109375,-2.28659221484313,0.94650735860717,-2.28659221484313,4.30223381218344,NA,NA,NA,NA
"2021-04-30",2021-04-30,57750.17578125,-0.00393933942114399,0.840902169937357,-0.00393933942114399,4.02441618949927,NA,NA,NA,NA
"2021-05-01",2021-05-01,57828.05078125,1.49388073743775,0.913455344104067,1.49388073743775,3.86115583775337,NA,NA,NA,NA
"2021-05-02",2021-05-02,56631.078125,1.79327476870443,1.01121305794855,1.79327476870443,3.72774415587924,NA,NA,NA,NA
"2021-05-03",2021-05-03,57200.29296875,2.26272741259612,1.15027020846495,2.26272741259612,3.63322694663517,NA,NA,NA,NA
"2021-05-04",2021-05-04,53333.5390625,0.478471253073454,1.07562588008812,0.478471253073454,3.42969432124409,NA,NA,NA,NA
"2021-05-05",2021-05-05,57424.0078125,1.5046933388994,1.12330004217826,1.5046933388994,3.30550070947992,NA,NA,NA,NA
"2021-05-06",2021-05-06,56396.515625,1.59490678273251,1.17570079112873,1.59490678273251,3.19513981098009,NA,NA,NA,NA
"2021-05-07",2021-05-07,57356.40234375,2.13981119678261,1.28282416953472,2.13981119678261,3.12705409393509,NA,NA,NA,NA
"2021-05-08",2021-05-08,58803.77734375,3.2229159901453,1.49838992738034,3.2229159901453,3.13323873240026,NA,NA,NA,NA
"2021-05-09",2021-05-09,58232.31640625,3.56841014468936,1.72839217374801,3.56841014468936,3.16131430738666,NA,NA,NA,NA
"2021-05-10",2021-05-10,55859.796875,2.49256089268299,1.81329980918523,2.49256089268299,3.11816892579287,NA,NA,NA,NA
"2021-05-11",2021-05-11,56704.57421875,2.21603234834211,1.85804786909155,2.21603234834211,3.05996656595734,NA,NA,NA,NA
"2021-05-12",2021-05-12,49150.53515625,-1.98729962688839,1.43078703620489,-1.98729962688839,2.73433648899955,NA,NA,NA,NA
"2021-05-13",2021-05-13,49716.19140625,-4.37783501702925,0.785384585845539,-4.37783501702925,2.27548671441705,NA,NA,NA,NA
"2021-05-14",2021-05-14,49880.53515625,-5.78097779529909,0.0557887657183579,-5.78097779529909,1.75571481056439,NA,NA,NA,NA
"2021-05-15",2021-05-15,46760.1875,-8.31086080195378,-0.873838964022991,-8.31086080195378,1.10625831943419,NA,NA,NA,NA
"2021-05-16",2021-05-16,46456.05859375,-10.0234868553989,-1.8904665075092,-10.0234868553989,0.388210243638507,NA,NA,NA,NA
"2021-05-17",2021-05-17,43537.51171875,-12.6356431244792,-3.08437502050587,-12.6356431244792,-0.452038360756185,NA,NA,NA,NA
"2021-05-18",2021-05-18,42909.40234375,-14.5522817216346,-4.35858687618683,-14.5522817216346,-1.36173148081285,NA,NA,NA,NA
"2021-05-19",2021-05-19,37002.44140625,-19.0013867188223,-5.98556463647966,-19.0013867188223,-2.49977375423282,NA,NA,NA,NA
"2021-05-20",2021-05-20,40782.73828125,-19.5602282935765,-7.49386059837931,-19.5602282935765,-3.60044824064209,NA,NA,NA,NA
"2021-05-21",2021-05-21,37304.69140625,-21.750914385366,-9.07797768582228,-21.750914385366,-4.77144605643073,NA,NA,NA,NA
"2021-05-22",2021-05-22,37536.6328125,-22.8415437391467,-10.6072628028583,-22.8415437391467,-5.93725881015434,NA,NA,NA,NA
"2021-05-23",2021-05-23,34770.58203125,-24.9924324335993,-12.2056149840518,-24.9924324335993,-7.1666248503766,NA,NA,NA,NA
"2021-05-24",2021-05-24,38705.98046875,-23.7876424778403,-13.492506927806,-23.7876424778403,-8.23894856827748,NA,NA,NA,NA
"2021-05-25",2021-05-25,38402.22265625,-22.9448174495153,-14.5427636524404,-22.9448174495153,-9.18771430255089,NA,NA,NA,NA
"2021-05-26",2021-05-26,39294.19921875,-21.6126826960903,-15.3283102128459,-21.6126826960903,-9.9893251666502,NA,NA,NA,NA
"2021-05-27",2021-05-27,38436.96875,-21.0487770850126,-15.9639176430867,-21.0487770850126,-10.7028381936413,NA,NA,NA,NA
"2021-05-28",2021-05-28,35697.60546875,-22.1760803031054,-16.6541579386443,-22.1760803031054,-11.4430473619938,NA,NA,NA,NA
"2021-05-29",2021-05-29,34616.06640625,-23.382939315229,-17.4018003138204,-23.382939315229,-12.21336297188,NA,NA,NA,NA
"2021-05-30",2021-05-30,35678.12890625,-23.2678542514175,-18.0535840846645,-23.2678542514175,-12.9265559576566,NA,NA,NA,NA
"2021-05-31",2021-05-31,37332.85546875,-21.8918232481491,-18.4800551028295,-21.8918232481491,-13.5049602989787,NA,NA,NA,NA
"2021-06-01",2021-06-01,36684.92578125,-21.1874247676199,-18.7808739544728,-21.1874247676199,-14.0006031679233,NA,NA,NA,NA
"2021-06-02",2021-06-02,37575.1796875,-19.9255225206844,-18.9080571284964,-19.9255225206844,-14.3828560293917,NA,NA,NA,NA
"2021-06-03",2021-06-03,39208.765625,-17.8181204824152,-18.7869530567095,-17.8181204824152,-14.6044859941029,NA,NA,NA,NA
"2021-06-04",2021-06-04,36894.40625,-17.7795866484501,-18.6750234557918,-17.7795866484501,-14.8093311976092,NA,NA,NA,NA
"2021-06-05",2021-06-05,35551.95703125,-18.459918175815,-18.6511228691277,-18.459918175815,-15.0448529381386,NA,NA,NA,NA
"2021-06-06",2021-06-06,35862.37890625,-18.5025485942864,-18.6346146163676,-18.5025485942864,-15.2679300772449,NA,NA,NA,NA
"2021-06-07",2021-06-07,33560.70703125,-19.8991630344307,-18.7751199961524,-19.8991630344307,-15.5667193002892,NA,NA,NA,NA
"2021-06-08",2021-06-08,33472.6328125,-20.6731282803235,-18.9860098055047,-20.6731282803235,-15.8961650409366,NA,NA,NA,NA
"2021-06-09",2021-06-09,37345.12109375,-18.2885463254371,-18.908513863275,-18.2885463254371,-16.0505122205817,NA,NA,NA,NA
"2021-06-10",2021-06-10,36702.59765625,-16.982929068933,-18.694559997237,-16.982929068933,-16.1106681462818,NA,NA,NA,NA
"2021-06-11",2021-06-11,37334.3984375,-15.5074828270227,-18.3404403116576,-15.5074828270227,-16.0717529643942,NA,NA,NA,NA
"2021-06-12",2021-06-12,35552.515625,-15.6224075790042,-18.0384366746961,-15.6224075790042,-16.0427629395303,NA,NA,NA,NA
"2021-06-13",2021-06-13,39097.859375,-13.0339196184418,-17.4823792240012,-13.0339196184418,-15.8486440155891,NA,NA,NA,NA
"2021-06-14",2021-06-14,40218.4765625,-10.4229932618958,-16.6980030059895,-10.4229932618958,-15.4986020314799,NA,NA,NA,NA
"2021-06-15",2021-06-15,40406.26953125,-8.48282307108553,-15.7852052354446,-8.48282307108553,-15.0459711308093,NA,NA,NA,NA
"2021-06-16",2021-06-16,38347.0625,-8.57312906487214,-14.9838634387143,-8.57312906487214,-14.6283684168778,NA,NA,NA,NA
"2021-06-17",2021-06-17,38053.50390625,-8.73656676572899,-14.2897193639382,-8.73656676572899,-14.2482521813198,NA,NA,NA,NA
"2021-06-18",2021-06-18,35787.24609375,-10.3466784275095,-13.851603704335,-10.3466784275095,-13.9965377455901,NA,NA,NA,NA
"2021-06-19",2021-06-19,35615.87109375,-11.3967995738972,-13.5788476898419,-11.3967995738972,-13.8288127022551,NA,NA,NA,NA
"2021-06-20",2021-06-20,35698.296875,-11.8898808872786,-13.3911847117793,-11.8898808872786,-13.7037203270953,NA,NA,NA,NA
"2021-06-21",2021-06-21,31676.693359375,-15.0011530717145,-13.5700700851054,-15.0011530717145,-13.7874256654579,NA,NA,NA,NA
"2021-06-22",2021-06-22,32505.66015625,-16.2661379297858,-13.8696331789588,-16.2661379297858,-13.9473425857371,NA,NA,NA,NA
